,Date,Time,Open,High,Low,Close,Volume
642,2020-04-13,12:33:00,152.66,153.18,152.66,152.97,2144.55313
643,2020-04-13,12:34:00,152.95,153.09,152.92,153.07,546.79323
644,2020-04-13,12:35:00,153.1,153.4,153.07,153.36,580.47209
645,2020-04-13,12:36:00,153.32,153.45,153.32,153.38,190.17735
646,2020-04-13,12:37:00,153.39,153.39,153.0,153.05,458.76924
647,2020-04-13,12:38:00,153.08,153.1,152.67,152.71,542.54351
648,2020-04-13,12:39:00,152.72,152.87,152.72,152.74,1286.32532
649,2020-04-13,12:40:00,152.74,153.06,152.71,153.0,858.91944
650,2020-04-13,12:41:00,152.95,153.11,152.91,153.06,186.93252
651,2020-04-13,12:42:00,153.05,153.19,152.99,153.13,179.32815
652,2020-04-13,12:43:00,153.09,153.11,152.94,153.01,285.93121
653,2020-04-13,12:44:00,153.01,153.01,152.82,152.89,108.85445
654,2020-04-13,12:45:00,152.89,153.05,152.82,152.87,275.76895
655,2020-04-13,12:46:00,152.9,153.06,152.88,152.93,103.14739
656,2020-04-13,12:47:00,152.95,153.12,152.9,153.12,195.0952
657,2020-04-13,12:48:00,153.12,153.43,153.12,153.3,422.75526
658,2020-04-13,12:49:00,153.29,153.39,153.22,153.39,496.19398
659,2020-04-13,12:50:00,153.4,153.41,153.19,153.19,319.34777
660,2020-04-13,12:51:00,153.21,153.27,153.17,153.21,212.32693
661,2020-04-13,12:52:00,153.21,153.21,153.08,153.11,200.46608
662,2020-04-13,12:53:00,153.11,153.18,153.0,153.15,356.4318
663,2020-04-13,12:54:00,153.15,153.16,152.86,152.91,622.63799
664,2020-04-13,12:55:00,152.91,153.06,152.87,153.06,283.92756
665,2020-04-13,12:56:00,153.07,153.15,152.98,153.05,698.99419
666,2020-04-13,12:57:00,153.05,153.2,153.02,153.19,317.74396
667,2020-04-13,12:58:00,153.16,153.33,153.16,153.25,676.33537
668,2020-04-13,12:59:00,153.21,153.44,153.2,153.43,311.50107
669,2020-04-13,13:00:00,153.44,153.44,153.21,153.27,586.42676
670,2020-04-13,13:01:00,153.28,153.3,153.12,153.15,571.33698
671,2020-04-13,13:02:00,153.14,153.17,152.96,153.15,829.23402
672,2020-04-13,13:03:00,153.14,153.16,152.97,153.12,236.36775
673,2020-04-13,13:04:00,153.1,153.1,152.78,152.8,704.49847
674,2020-04-13,13:05:00,152.82,152.87,152.68,152.78,298.22472
675,2020-04-13,13:06:00,152.82,152.94,152.82,152.9,60.11998
